CPC,ISIC
1111,111
1112,111
1121,111
1122,111
1141,111
1142,111
1151,111
1152,111
1161,111
1162,111
1171,111
1172,111
1181,111
1182,111
1191,111
1192,111
1193,111
1194,111
1195,111
1199,111
1241,111
1242,111
1243,111
1249,111
1411,111
1412,111
1421,111
1422,111
1431,111
1432,111
1441,111
1442,111
1443,111
1444,111
1445,111
1446,111
1447,111
1448,111
1449,111
1701,111
1702,111
1703,111
1704,111
1705,111
1706,111
1707,111
1708,111
1709,111
1913,111
86113,111
1131,112
1132,112
86113,112
1211,113
1212,113
1213,113
1214,113
1215,113
1216,113
1219,113
1221,113
1229,113
1232,113
1233,113
1234,113
1235,113
1239,113
1251,113
1252,113
1253,113
1254,113
1259,113
1260,113
1270,113
1290,113
1510,113
1520,113
1530,113
1540,113
1550,113
1591,113
1599,113
1801,113
1803,113
86113,113
1802,114
86113,114
1970,115
86113,115
1921,116
1922,116
1929,116
86113,116
1911,119
1912,119
1919,119
1940,119
1962,119
1963,119
1990,119
86113,119
1330,121
86113,121
1311,122
1312,122
1313,122
1314,122
1315,122
1316,122
1317,122
1318,122
1319,122
86113,122
1321,123
1322,123
1323,123
1324,123
1329,123
86113,123
1341,124
1342,124
1343,124
1344,124
1345,124
1346,124
1349,124
86113,124
1351,125
1352,125
1353,125
1354,125
1355,125
1356,125
1359,125
1360,125
1371,125
1372,125
1373,125
1374,125
1375,125
1376,125
1377,125
1379,125
1809,125
86113,125
1450,126
1460,126
1491,126
1492,126
1499,126
86113,126
1610,127
1620,127
1630,127
1640,127
86113,127
1231,128
1651,128
1652,128
1653,128
1654,128
1655,128
1656,128
1657,128
1658,128
1659,128
1691,128
1699,128
1930,128
86113,128
1809,129
1950,129
1990,129
3241,129
3250,129
86113,129
1961,130
86113,130
2111,141
2112,141
2119,141
2211,141
2212,141
2411,141
2420,141
2943,141
34654,141
86121,141
2131,142
2132,142
2133,142
2299,142
2420,142
34654,142
86121,142
2121,143
2293,143
2943,143
34654,143
86121,143
2122,144
2123,144
2291,144
2292,144
2419,144
2941,144
2942,144
2943,144
34654,144
86121,144
2140,145
2419,145
34654,145
86121,145
2151,146
2152,146
2153,146
2154,146
2155,146
2311,146
2312,146
2321,146
2322,146
34654,146
86121,146
2129,149
2191,149
2192,149
2193,149
2194,149
2195,149
2196,149
2199,149
2299,149
2321,149
2322,149
2419,149
2910,149
2920,149
2930,149
2943,149
2944,149
34654,149
86121,149
86119,161
86122,162
86111,163
86112,164
2129,170
2154,170
2191,170
2192,170
2194,170
2199,170
2943,170
86131,170
86132,170
3110,210
3120,210
86141,210
3110,220
3120,220
3131,220
3132,220
34510,220
86141,220
1270,230
1355,230
