"CPC","ISIC"
"01110","0111"
"01120","0111"
"01130","0111"
"01150","0111"
"01160","0111"
"01190","0111"
"01210","0111"
"01220","0111"
"01240","0111"
"01410","0111"
"01420","0111"
"01430","0111"
"01440","0111"
"01490","0111"
"01710","0111"
"01790","0111"
"01810","0111"
"01820","0111"
"01910","0111"
"01921","0111"
"01922","0111"
"01923","0111"
"01930","0111"
"01940","0111"
"01990","0111"
"03210","0111"
"01231","0112"
"01239","0112"
"01341","0112"
"01510","0112"
"01520","0112"
"01530","0112"
"01540","0112"
"01310","0113"
"01320","0113"
"01330","0113"
"01349","0113"
"01360","0113"
"01611","0113"
"01612","0113"
"01613","0113"
"01614","0113"
"01620","0113"
"02111","0121"
"02112","0121"
"02113","0121"
"02910","0121"
"02961","0121"
"02990","0121"
"02121","0122"
"02122","0122"
"02129","0122"
"02920","0122"
"02930","0122"
"02940","0122"
"02950","0122"
"02963","0122"
"02964","0122"
"02972","0122"
"02973","0122"
"02974","0122"
"02980","0122"
"86110","0140"
"86121","0140"
"86130","0150"
"03110","0200"
"03120","0200"
"03130","0200"
"03190","0200"
"03220","0200"
"03230","0200"
"03910","0200"
"03920","0200"
"03930","0200"
"34510","0200"
"86140","0200"
"04110","0501"
"04120","0501"
"04210","0501"
"04230","0501"
"04910","0501"
"04920","0501"
"04930","0501"
"38210","0501"
"86150","0501"
"04110","0502"
"04120","0502"
"04210","0502"
"04220","0502"
"04230","0502"
"04910","0502"
"04920","0502"
"04930","0502"
"38210","0502"
"86150","0502"
"11010","1010"
"11020","1010"
"86210","1010"
"11030","1020"
"86210","1020"
"11040","1030"
"86210","1030"
"12010","1110"
"12020","1110"
"12030","1110"
"86210","1110"
"86210","1120"
"13000","1200"
"86210","1200"
"14100","1310"
"86210","1310"
"14210","1320"
"14220","1320"
"14230","1320"
"14240","1320"
"14290","1320"
"86210","1320"
"15110","1410"
"15120","1410"
"15130","1410"
"15200","1410"
"15310","1410"
"15320","1410"
"15400","1410"
"16330","1410"
"86210","1410"
"16110","1421"
"16120","1421"
"16190","1421"
"86210","1421"
"16200","1422"
"86210","1422"
"15330","1429"
"16310","1429"
"16320","1429"
"16390","1429"
"86210","1429"
"02962","1511"
"02971","1511"
"21111","1511"
"21112","1511"
"21113","1511"
