"HS02","CPC"
"100110","01110"
"100190","01110"
"100510","01120"
"100590","01120"
"100610","01130"
"100620","01140"
"100300","01150"
"100200","01160"
"100400","01160"
"100700","01190"
"100810","01190"
"100820","01190"
"100830","01190"
"100890","01190"
"070110","01210"
"070190","01210"
"071310","01220"
"071320","01220"
"071331","01220"
"071332","01220"
"071333","01220"
"071339","01220"
"071340","01220"
"071350","01220"
"071390","01220"
"121210","01231"
"070200","01239"
"070310","01239"
"070320","01239"
"070390","01239"
"070410","01239"
"070420","01239"
"070490","01239"
"070511","01239"
"070519","01239"
"070521","01239"
"070529","01239"
"070610","01239"
"070690","01239"
"070700","01239"
"070810","01239"
"070820","01239"
"070890","01239"
"070910","01239"
"070920","01239"
"070930","01239"
"070940","01239"
"070951","01239"
"070952","01239"
"070959","01239"
"070960","01239"
"070970","01239"
"070990","01239"
"071410","01240"
"071420","01240"
"071490","01240"
"080111","01310"
"080119","01310"
"080121","01310"
"080122","01310"
"080131","01310"
"080132","01310"
"080300","01310"
"080410","01310"
"080420","01310"
"080430","01310"
"080440","01310"
"080450","01310"
"080510","01320"
"080520","01320"
"080540","01320"
"080550","01320"
"080590","01320"
"080610","01330"
"080711","01341"
"080719","01341"
"080720","01349"
"080810","01349"
"080820","01349"
"080910","01349"
"080920","01349"
"080930","01349"
"080940","01349"
"081010","01349"
"081020","01349"
"081030","01349"
"081040","01349"
"081050","01349"
"081060","01349"
"081090","01349"
"080620","01350"
"081310","01350"
"081320","01350"
"081330","01350"
"081340","01350"
"081350","01350"
"080211","01360"
"080212","01360"
"080221","01360"
"080222","01360"
"080231","01360"
"080232","01360"
"080240","01360"
"080250","01360"
"080290","01360"
"120100","01410"
"120210","01420"
"120220","01420"
"120510","01430"
"120590","01430"
"120600","01430"
"120740","01430"
"120750","01430"
"120760","01430"
"120720","01440"
"120300","01490"
"120400","01490"
"120710","01490"
"120730","01490"
"120791","01490"
"120799","01490"
"060110","01510"
"060120","01510"
"060210","01510"
"060220","01510"
