HS12,CPC
100111,1111
100191,1111
100119,1112
100199,1112
100510,1121
100590,1122
100610,1131
100610,1132
100710,1141
100790,1142
100310,1151
100390,1152
100210,1161
100290,1162
100410,1171
100490,1172
100821,1181
100829,1182
100860,1191
100810,1192
100840,1193
100850,1194
100830,1195
100890,1199
70920,1211
70420,1212
70490,1212
70410,1213
70511,1214
70519,1214
70521,1214
70529,1214
70970,1215
70991,1216
70999,1219
80711,1221
80719,1229
70960,1231
70700,1232
70930,1233
70200,1234
70993,1235
70999,1239
70820,1241
70810,1242
70890,1243
70890,1249
70610,1251
70320,1252
70310,1253
70390,1254
70690,1259
120991,1260
70951,1270
70959,1270
70940,1290
70999,1290
80440,1311
80390,1312
80310,1313
80410,1314
80420,1315
80450,1316
80720,1317
80430,1318
81060,1319
81090,1319
80540,1321
80550,1322
80510,1323
80520,1324
80590,1329
80610,1330
80810,1341
80830,1342
80840,1342
80910,1343
80921,1344
80929,1344
80930,1345
80940,1346
81090,1349
81030,1351
81050,1352
81020,1353
81010,1354
81040,1355
81090,1355
121292,1356
81070,1359
81090,1359
120999,1360
80211,1371
80131,1372
80241,1373
80221,1374
80251,1375
80231,1376
80121,1377
80261,1379
80270,1379
80280,1379
80290,1379
120110,1411
120190,1412
120230,1421
120241,1422
120721,1431
120729,1432
120400,1441
120750,1442
120510,1443
120590,1443
120740,1444
120600,1445
120760,1446
120730,1447
120791,1448
120770,1449
120799,1449
70992,1450
80112,1460
80119,1460
120710,1491
120300,1492
120799,1499
70110,1510
70190,1510
71410,1520
71420,1530
71430,1540
71440,1550
71450,1591
71490,1599
90111,1610
90220,1620
90240,1620
90300,1630
180100,1640
90411,1651
90421,1652
90811,1653
90821,1653
90831,1653
90921,1654
90931,1654
90961,1654
90611,1655
90619,1655
90710,1656
91011,1657
90510,1658
121010,1659
121020,1659
121294,1691
91020,1699
91030,1699
91091,1699
91099,1699
121299,1699
71331,1701
71332,1701
71333,1701
71339,1701
71350,1702
71320,1703
71340,1704
71310,1705
71335,1706
71360,1707
71334,1708
71390,1709
