ISIC,MRIO
111,A01
112,A01
113,A01
114,A01
115,A01
116,A01
119,A01
121,A01
122,A01
123,A01
124,A01
125,A01
126,A01
127,A01
128,A01
129,A01
130,A01
141,A01
142,A01
143,A01
144,A01
145,A01
146,A01
149,A01
161,A01
162,A01
163,A01
164,A01
170,A01
210,A02
220,A02
230,A02
240,A02
311,A03
312,A03
321,A03
322,A03
510,B
520,B
610,B
620,B
710,B
721,B
729,B
810,B
891,B
892,B
893,B
899,B
910,B
990,B
1010,C10-C12
1020,C10-C12
1030,C10-C12
1040,C10-C12
1050,C10-C12
1061,C10-C12
1062,C10-C12
1071,C10-C12
1072,C10-C12
1073,C10-C12
1074,C10-C12
1075,C10-C12
1079,C10-C12
1080,C10-C12
1101,C10-C12
1102,C10-C12
1103,C10-C12
1104,C10-C12
1200,C10-C12
1311,C13-C15
1312,C13-C15
1313,C13-C15
1391,C13-C15
1392,C13-C15
1393,C13-C15
1394,C13-C15
1399,C13-C15
1410,C13-C15
1420,C13-C15
1430,C13-C15
1511,C13-C15
1512,C13-C15
1520,C13-C15
1610,C16
1621,C16
1622,C16
1623,C16
1629,C16
1701,C17
1702,C17
1709,C17
1811,C18
1812,C18
1820,C18
1910,C19
1920,C19
2011,C20
2012,C20
2013,C20
2021,C20
2022,C20
2023,C20
2029,C20
2030,C20
2100,C21
2211,C22
2219,C22
2220,C22
2310,C23
2391,C23
2392,C23
2393,C23
2394,C23
2395,C23
2396,C23
2399,C23
2410,C24
2420,C24
2431,C24
2432,C24
2511,C25
2512,C25
2513,C25
2520,C25
2591,C25
2592,C25
2593,C25
2599,C25
2610,C26
2620,C26
2630,C26
2640,C26
2651,C26
2652,C26
2660,C26
2670,C26
2680,C26
2710,C27
2720,C27
2731,C27
2732,C27
2733,C27
2740,C27
2750,C27
2790,C27
2811,C28
2812,C28
2813,C28
2814,C28
2815,C28
2816,C28
2817,C28
2818,C28
2819,C28
2821,C28
2822,C28
2823,C28
2824,C28
2825,C28
2826,C28
2829,C28
2910,C29
2920,C29
2930,C29
3011,C30
3012,C30
3020,C30
3030,C30
3040,C30
3091,C30
3092,C30
3099,C30
3100,C31_C32
3211,C31_C32
3212,C31_C32
3220,C31_C32
3230,C31_C32
3240,C31_C32
3250,C31_C32
3290,C31_C32
3311,C33
3312,C33
3313,C33
3314,C33
3315,C33
3319,C33
3320,C33
3510,D
3520,D
3530,D
3600,E36
3700,E37-E39
3811,E37-E39
3812,E37-E39
3821,E37-E39
3822,E37-E39
3830,E37-E39
3900,E37-E39
4100,F
4210,F
4220,F
4290,F
4311,F
4312,F
4321,F
4322,F
4329,F
4330,F
4390,F
4520,G45
4540,G45
4911,H49
4912,H49
4921,H49
4922,H49
4923,H49
4930,H49
5011,H50
5012,H50
5021,H50
5022,H50
5110,H51
5120,H51
5210,H52
5221,H52
5222,H52
5223,H52
5224,H52
5229,H52
5310,H53
5320,H53
5510,I
5520,I
5590,I
5610,I
5621,I
5629,I
5630,I
5811,J58
5812,J58
5813,J58
5819,J58
5820,J58
5911,J59_J60
5912,J59_J60
5913,J59_J60
5914,J59_J60
5920,J59_J60
6010,J59_J60
6020,J59_J60
6110,J61
6120,J61
6130,J61
6190,J61
6201,J62_J63
6202,J62_J63
6209,J62_J63
6311,J62_J63
6312,J62_J63
6391,J62_J63
6399,J62_J63
6411,K64
6419,K64
6420,K64
6430,K64
6491,K64
6492,K64
6499,K64
6511,K65
6512,K65
6520,K65
6530,K65
6611,K66
6612,K66
6619,K66
6621,K66
6622,K66
6629,K66
6630,K66
6810,L
6820,L
6910,M69_M70
6920,M69_M70
7010,M69_M70
7020,M69_M70
7110,M71
7120,M71
7210,M72
7220,M72
7310,M73
7320,M73
7410,M74_M75
7420,M74_M75
7490,M74_M75
7500,M74_M75
7710,N77
7721,N77
7722,N77
7729,N77
7730,N77
7740,N77
7810,N78
7820,N78
7830,N78
7911,N79
7912,N79
7990,N79
8010,N80-N82
8020,N80-N82
8030,N80-N82
8121,N80-N82
8129,N80-N82
8130,N80-N82
8211,N80-N82
8219,N80-N82
8220,N80-N82
8230,N80-N82
8291,N80-N82
8292,N80-N82
8299,N80-N82
8411,O
8412,O
8413,O
8421,O
8422,O
8423,O
8430,O
8510,P
8521,P
8522,P
8530,P
8541,P
8542,P
8549,P
8550,P
8610,Q86
8620,Q86
8690,Q86
8710,Q87_Q88
8720,Q87_Q88
8730,Q87_Q88
8790,Q87_Q88
8810,Q87_Q88
8890,Q87_Q88
9000,R90-R92
9101,R90-R92
9102,R90-R92
9103,R90-R92
9200,R90-R92
9311,R93
9312,R93
9319,R93
9321,R93
9329,R93
9411,S94
9412,S94
9420,S94
9491,S94
9492,S94
9499,S94
9511,S95
9512,S95
9521,S95
9522,S95
9523,S95
9524,S95
9529,S95
9601,S96
9602,S96
9603,S96
9609,S96
9700,T
9900,U
