"ISIC","MRIO"
"A","c1"
"01","c1"
"011","c1"
"0111","c1"
"0112","c1"
"0113","c1"
"012","c1"
"0121","c1"
"0122","c1"
"013","c1"
"0130","c1"
"014","c1"
"0140","c1"
"015","c1"
"0150","c1"
"02","c1"
"020","c1"
"0200","c1"
"B","c1"
"05","c1"
"050","c1"
"0501","c1"
"0502","c1"
"C","c2"
"10","c2"
"101","c2"
"1010","c2"
"102","c2"
"1020","c2"
"103","c2"
"1030","c2"
"11","c2"
"111","c2"
"1110","c2"
"112","c2"
"1120","c2"
"12","c2"
"120","c2"
"1200","c2"
"13","c2"
"131","c2"
"1310","c2"
"132","c2"
"1320","c2"
"14","c2"
"141","c2"
"1410","c2"
"142","c2"
"1421","c2"
"1422","c2"
"1429","c2"
"D",NA
"15","c3"
"151","c3"
"1511","c3"
"1512","c3"
"1513","c3"
"1514","c3"
"152","c3"
"1520","c3"
"153","c3"
"1531","c3"
"1532","c3"
"1533","c3"
"154","c3"
"1541","c3"
"1542","c3"
"1543","c3"
"1544","c3"
"1549","c3"
"155","c3"
"1551","c3"
"1552","c3"
"1553","c3"
"1554","c3"
"16","c3"
"160","c3"
"1600","c3"
"17","c4"
"171","c4"
"1711","c4"
"1712","c4"
"172","c4"
"1721","c4"
"1722","c4"
"1723","c4"
"1729","c4"
"173","c4"
"1730","c4"
"18","c4"
"181","c4"
"1810","c4"
"182","c4"
"1820","c4"
"19","c5"
"191","c5"
"1911","c5"
"1912","c5"
"192","c5"
"1920","c5"
"20","c6"
"201","c6"
"2010","c6"
"202","c6"
"2021","c6"
"2022","c6"
"2023","c6"
"2029","c6"
"21","c7"
"210","c7"
"2101","c7"
"2102","c7"
"2109","c7"
"22","c7"
"221","c7"
"2211","c7"
"2212","c7"
"2213","c7"
"2219","c7"
"222","c7"
"2221","c7"
"2222","c7"
"223","c7"
"2230","c7"
"23","c8"
"231","c8"
"2310","c8"
"232","c8"
"2320","c8"
"233","c8"
"2330","c8"
"24","c9"
"241","c9"
"2411","c9"
"2412","c9"
"2413","c9"
"242","c9"
"2421","c9"
"2422","c9"
"2423","c9"
"2424","c9"
"2429","c9"
"243","c9"
"2430","c9"
"25","c10"
"251","c10"
"2511","c10"
"2519","c10"
"252","c10"
"2520","c10"
"26","c11"
"261","c11"
"2610","c11"
"269","c11"
"2691","c11"
"2692","c11"
"2693","c11"
"2694","c11"
"2695","c11"
"2696","c11"
"2699","c11"
"27","c12"
"271","c12"
"2710","c12"
"272","c12"
"2720","c12"
"273","c12"
"2731","c12"
"2732","c12"
"28","c12"
"281","c12"
"2811","c12"
"2812","c12"
"2813","c12"
"289","c12"
"2891","c12"
"2892","c12"
"2893","c12"
"2899","c12"
"29","c13"
"291","c13"
"2911","c13"
"2912","c13"
"2913","c13"
"2914","c13"
"2915","c13"
"2919","c13"
"292","c13"
"2921","c13"
"2922","c13"
"2923","c13"
"2924","c13"
"2925","c13"
"2926","c13"
"2927","c13"
"2929","c13"
"293","c13"
"2930","c13"
"30","c14"
"300","c14"
"3000","c14"
"31","c14"
"311","c14"
"3110","c14"
"312","c14"
"3120","c14"
"313","c14"
"3130","c14"
"314","c14"
"3140","c14"
"315","c14"
"3150","c14"
"319","c14"
"3190","c14"
"32","c14"
"321","c14"
"3210","c14"
"322","c14"
"3220","c14"
"323","c14"
"3230","c14"
"33","c14"
"331","c14"
"3311","c14"
"3312","c14"
"3313","c14"
"332","c14"
"3320","c14"
"333","c14"
"3330","c14"
"34","c15"
"341","c15"
"3410","c15"
"342","c15"
"3420","c15"
"343","c15"
"3430","c15"
"35","c15"
"351","c15"
"3511","c15"
"3512","c15"
"352","c15"
"3520","c15"
"353","c15"
"3530","c15"
"359","c15"
"3591","c15"
"3592","c15"
"3599","c15"
"36","c16"
"361","c16"
"3610","c16"
"369","c16"
"3691","c16"
"3692","c16"
"3693","c16"
"3694","c16"
"3699","c16"
"37","c16"
"371","c16"
"3710","c16"
"372","c16"
"3720","c16"
"E","c17"
"40","c17"
"401","c17"
"4010","c17"
"402","c17"
"4020","c17"
"403","c17"
"4030","c17"
"41","c17"
"410","c17"
"4100","c17"
"F","c18"
"45","c18"
"451","c18"
"4510","c18"
"452","c18"
"4520","c18"
"453","c18"
"4530","c18"
"454","c18"
"4540","c18"
"455","c18"
"4550","c18"
"G",NA
"50","c19"
"501","c19"
"5010","c19"
"502","c19"
"5020","c19"
"503","c19"
"5030","c19"
"504","c19"
"5040","c19"
"505","c19"
"5050","c19"
"51","c20"
"511","c20"
"5110","c20"
"512","c20"
"5121","c20"
"5122","c20"
"513","c20"
"5131","c20"
"5139","c20"
"514","c20"
"5141","c20"
"5142","c20"
"5143","c20"
"5149","c20"
"515","c20"
"5151","c20"
"5152","c20"
"5159","c20"
"519","c20"
"5190","c20"
"52","c21"
"521","c21"
"5211","c21"
"5219","c21"
"522","c21"
"5220","c21"
"523","c21"
"5231","c21"
"5232","c21"
"5233","c21"
"5234","c21"
"5239","c21"
"524","c21"
"5240","c21"
"525","c21"
"5251","c21"
"5252","c21"
"5259","c21"
"526","c21"
"5260","c21"
"H","c22"
"55","c22"
"551","c22"
"5510","c22"
"552","c22"
"5520","c22"
"I",NA
"60","c23"
"601","c23"
"6010","c23"
"602","c23"
"6021","c23"
"6022","c23"
"6023","c23"
"603","c23"
"6030","c23"
"61","c24"
"611","c24"
"6110","c24"
"612","c24"
"6120","c24"
"62","c25"
"621","c25"
"6210","c25"
"622","c25"
"6220","c25"
"63","c26"
"630","c26"
"6301","c26"
"6302","c26"
"6303","c26"
"6304","c26"
"6309","c26"
"64","c27"
"641","c27"
"6411","c27"
"6412","c27"
"642","c27"
"6420","c27"
"J","c28"
"65","c28"
"651","c28"
"6511","c28"
"6519","c28"
"659","c28"
"6591","c28"
"6592","c28"
"6599","c28"
"66","c28"
"660","c28"
"6601","c28"
"6602","c28"
"6603","c28"
"67","c28"
"671","c28"
"6711","c28"
"6712","c28"
"6719","c28"
"672","c28"
"6720","c28"
"K",NA
"70","c29"
"701","c29"
"7010","c29"
"702","c29"
"7020","c29"
"71","c30"
"711","c30"
"7111","c30"
"7112","c30"
"7113","c30"
"712","c30"
"7121","c30"
"7122","c30"
"7123","c30"
"7129","c30"
"713","c30"
"7130","c30"
"72","c30"
"721","c30"
"7210","c30"
"722","c30"
"7221","c30"
"7229","c30"
"723","c30"
"7230","c30"
"724","c30"
"7240","c30"
"725","c30"
"7250","c30"
"729","c30"
"7290","c30"
"73","c30"
"731","c30"
"7310","c30"
"732","c30"
"7320","c30"
"74","c30"
"741","c30"
"7411","c30"
"7412","c30"
"7413","c30"
"7414","c30"
"742","c30"
"7421","c30"
"7422","c30"
"743","c30"
"7430","c30"
"749","c30"
"7491","c30"
"7492","c30"
"7493","c30"
"7494","c30"
"7495","c30"
"7499","c30"
"L","c31"
"75","c31"
"751","c31"
"7511","c31"
"7512","c31"
"7513","c31"
"7514","c31"
"752","c31"
"7521","c31"
"7522","c31"
"7523","c31"
"753","c31"
"7530","c31"
"M","c32"
"80","c32"
"801","c32"
"8010","c32"
"802","c32"
"8021","c32"
"8022","c32"
"803","c32"
"8030","c32"
"809","c32"
"8090","c32"
"N","c33"
"85","c33"
"851","c33"
"8511","c33"
"8512","c33"
"8519","c33"
"852","c33"
"8520","c33"
"853","c33"
"8531","c33"
"8532","c33"
"O","c34"
"90","c34"
"900","c34"
"9000","c34"
"91","c34"
"911","c34"
"9111","c34"
"9112","c34"
"912","c34"
"9120","c34"
"919","c34"
"9191","c34"
"9192","c34"
"9199","c34"
"92","c34"
"921","c34"
"9211","c34"
"9212","c34"
"9213","c34"
"9214","c34"
"9219","c34"
"922","c34"
"9220","c34"
"923","c34"
"9231","c34"
"9232","c34"
"9233","c34"
"924","c34"
"9241","c34"
"9249","c34"
"93","c34"
"930","c34"
"9301","c34"
"9302","c34"
"9303","c34"
"9309","c34"
"P","c35"
"95","c35"
"950","c35"
"9500","c35"
"96","c35"
"960","c35"
"9600","c35"
"97","c35"
"970","c35"
"9700","c35"
"Q","c35"
"99","c35"
"990","c35"
"9900","c35"
